ID,NameSubtext_lang,Description_lang,AuraDescription_lang
132,,Allows the friendly target to detect lesser invisibility for $d.,Detect lesser invisibility.
133,Rank 1,Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.,$s2 Fire damage every $t2 seconds.
134,,Surrounds an ally with a shield of flame that inflicts $3052s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.,Inflicting $3052s1 Fire damage to nearby enemies every $t1 sec.
136,Rank 1,Heals your pet $s1 health every second while you focus.  Lasts $d.,Heals $s1 every second.
139,Rank 1,Heals the target of $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
142,,,
143,Rank 2,Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.,$s2 Fire damage every $t2 seconds.
145,Rank 3,Hurls a fiery ball that causes $s1 Fire damage and an additional $o2 Fire damage over $d.,$s2 Fire damage every $t2 seconds.
168,Rank 1,"Increases Armor by $s1.  If an enemy strikes the caster, they may have their movement slowed by $6136s1% and the time between their attacks increased by $6136s2% for $6136d.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.",Increases Armor by $s1 and may slow attackers.
172,Rank 1,"Corrupts the target, causing $o1 Shadow damage over $d.",$s1 Shadow damage every $t1 seconds.
184,,Surrounds an ally with a shield of flame that inflicts $3053s1 Fire damage to nearby enemies every $t1 sec.  Lasts $d.,Inflicting $3053s1 Fire damage to nearby enemies every $t1 sec.
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,Rank 2,"Launches a bolt of frost at the enemy, causing ${$m2$*$<frostdamage>} to ${$M2*$<frostdamage>}  Frost damage and slowing movement speed by $s1% for $d.",Movement slowed by $w1%.
227,,,
228,Rank 2,"Transforms the enemy into a chicken that cannot cast, and does $s3% less damage for up to $d.",Cannot cast spells and damage reduced by $s3%.
246,Rank 1,Slows the enemy's movement by $s2% and their attack speed by $s1% for $d.,Reduces movement by $s2% and attack speed by $s1%.
260,,,
261,,,
262,,,
263,,,
264,,,
265,,Kills all enemies in a 30 yard radius.  Cheater.,
266,,,
269,,,
271,,,
284,Rank 2,A strong attack that increases melee damage by $s1 and causes a high amount of threat.,
285,Rank 3,A strong attack that increases melee damage by $s1 and causes a high amount of threat.,
302,,,
324,Rank 1,"The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26364s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.",Causes $26364s1 Nature damage to attacker on hit.
325,Rank 2,"The caster is surrounded by $n balls of lightning.  When a spell, melee or ranged attack hits the caster, the attacker will be struck for $26365s1 Nature damage.  This expends one lightning ball.  Only one ball will fire every few seconds.  Lasts $d.",Causes $26365s1 Nature damage to attacker on hit.
331,Rank 1,Heals a friendly target for $s1.,
332,Rank 2,Heals a friendly target for $s1.,
339,Rank 1,Roots the target in place and causes $o2 Nature damage over $d.  Damage caused may interrupt the effect.  Only useable outdoors.,Rooted.  Causes $s2 Nature damage every $t2 seconds.
348,Rank 1,Burns the enemy for ${$m2*$<mult>} Fire damage and then an additional $o1 Fire damage over $d.,$s1 Fire damage every $t1 seconds.
355,,"Taunts the target to attack you, but has no effect if the target is already attacking you.",
370,Rank 1,"Purges the enemy target, removing $m1 magic $leffect:effects;.",
379,,"Protects the target with an earthen shield, giving a chance of ignoring spell interruption when damaged and causing attacks to heal the shielded target.  This effect can only occur once every few seconds.  Limited charges. Earth Shield can only be placed on one target at a time and only one Elemental Shield can be active on a target at a time.",
403,Rank 1,Casts a bolt of lightning at the target for $s1 Nature damage.,
408,Rank 1,"Finishing move that stuns the target.  Lasts longer per combo point:
   1 point  : 1 second
   2 points: 2 seconds
   3 points: 3 seconds
   4 points: 4 seconds
   5 points: 5 seconds",Stunned.
409,,,
410,,,
411,,,
421,Rank 1,"Hurls a lightning bolt at the enemy, dealing $s1 Nature damage and then jumping to additional nearby enemies.  Each jump reduces the damage by $?a415096[20%][30%].  Affects $x1 total targets.",
427,,Teleport to the Monastery!!!,
428,,,
430,,Restores $o1 mana over $d.  Must remain seated while drinking.,Restores $/5;s1 mana per second.
431,,Restores $o1 mana over $d.  Must remain seated while drinking.,Restores $/5;s1 mana per second.
432,,Restores $o1 mana over $d.  Must remain seated while drinking.,Restores $/5;s1 mana per second.
433,,Restores $o1 health over $d.  Must remain seated while eating.,Restores $/5;s1 health per second.
434,,Restores $o1 health over $d.  Must remain seated while eating.,Restores $/5;s1 health per second.
435,,Restores $o1 health over $d.  Must remain seated while eating.,Restores $/5;s1 health per second.
436,,Restores $s1 mana.,
437,,Restores $s1 mana.,
438,,Restores $s1 mana.,
439,,Restores $s1 health.,
440,,Restores $s1 health.,
441,,Restores $s1 health.,
442,,Teleport to Northshire Abbey!!!,
443,,Teleport to the Barracks!!!,
444,,Teleport to the Lighthouse!!!,
445,,Teleport to Darkshire!!!,
446,,Teleport to the Cemetary!!!,
447,,Teleport to the Treant!!!,
448,,,
450,,,
453,Rank 1,"Soothes the target, reducing the range at which it will attack you by $s1 yards.  Only affects Humanoid targets level $v or lower.  Lasts $d.",Reduced distance at which target will attack.
454,,,
455,,Restore target's mana.,
456,,,
457,,,
458,,Summons and dismisses a rideable brown horse.,Increases speed by $s2%.
459,,Summons and dismisses a rideable gray wolf.,Increases speed by $s2%.
461,,,
463,,,
464,,,
465,Rank 1,Gives $s1 additional armor to party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.,Increases armor by $s1.
467,Rank 1,Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.,Causes $s1 Nature damage to attackers.
468,,Summons and dismisses a rideable white stallion.,Increases speed by $s2%.
470,,Summons and dismisses a rideable black stallion.,Increases speed by $s2%.
471,,Summons and dismisses a rideable palomino.,Increases speed by $s2%.
472,,Summons and dismisses a rideable pinto.,Increases speed by $s2%.
474,,Decreases the target's agility by $s1.,
475,,Removes $m1 Curse from a friendly target.,
476,Rank 1,Teaches Frost Shield (Rank 1).,
477,Rank 1,Teaches Polymorph: Pig.,
478,Rank 1,Teaches Frostbolt (Rank 1).,
479,,,
481,Rank 2,Teaches Water Elemental (Rank 2).,
482,,,
483,Rank 2,Teaches Fireball (Rank 2).,
484,Rank 2,Teaches Frost Armor (Rank 2).,
485,Rank 1,Teaches Chains of Ice (Rank 1).,
486,Rank 1,Teaches Remove Curse.,
487,Rank 1,Teaches Slow (Rank 1).,
488,Rank 1,Teaches Water Breathing.,
490,Rank 2,Teaches Frost Shield (Rank 2).,
491,Rank 1,Magically unlocks treasure chests and other locked items.,
493,Rank 1,Teaches Khadgar's Unlocking (Rank 1).,
494,Rank 2,Teaches Frostbolt (Rank 2).,
495,Rank 3,Teaches Polymorph: Sheep.,
496,Rank 1,Teaches Drain Mana (Rank 1).,
497,Rank 1,Teaches Frost Nova (Rank 1).,
498,Rank 1,"You are protected from all physical attacks and spells for $d, but during that time you cannot attack or use physical abilities yourself.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for $25771d.",Immune to all attacks and spells.  Cannot attack or use physical abilities.
499,Shapeshift,,
502,Rank 3,Teaches Fireball (Rank 3).,
504,Rank 2,Teaches Seal of Protection (Rank 2).,
506,Rank 1,Teaches Ice Armor (Rank 1).,
507,,Decreases the target's agility by $s1.,
509,,,
512,Rank 2,"Forms icy chains around the enemy, locking the target in place for $d.",Rooted in place.
513,,,
514,,,
515,Rank 1,Teaches Lesser Invisibility.,
517,Rank 1,Teaches Blink (Rank 1).,
518,,,
519,Rank 2,Teaches Ghost Wolf (Rank 2).,
520,Rank 2,Teaches Chains of Ice (Rank 2).,
521,Rank 7,Teaches Moonfire (Rank 7).,
522,,,
526,,Cures $s1 poison $leffect:effects; on the target.,
527,Rank 1,"Dispels magic on the target, removing $s1 harmful $lspell:spells; from a friend or $s1 beneficial $lspell:spells; from an enemy.",
528,,Removes $s1 $ldisease:diseases; from the friendly target.,
529,Rank 2,Casts a bolt of lightning at the target for $s1 Nature damage.,
530,,,
531,Rank 2,Teaches Lightning Bolt (Rank 2).,
532,Rank 1,Teaches Lightning Shield (Rank 1).,
533,Rank 1,Teaches Unyielding Will (Rank 1).,
534,Rank 1,Teaches Molten Blast (Rank 1).,
535,Rank 1,Teaches Shadow Ward.,
536,Rank 1,Teaches Cure Poison (Rank 1).,
537,Rank 1,Teaches Undying Strength (Rank 1).,
538,Rank 2,Teaches Healing Wave (Rank 2).,
539,Rank 2,Teaches Moonfire (Rank 2).,
540,Rank 1,Teaches Nullify Disease (Rank 1).,
541,Rank 1,Teaches Fire Resistance.,
543,Rank 1,Absorbs $s1 Fire damage.  Lasts $d.,Absorbs Fire damage.
546,,Allows the friendly target to walk across water for $d.  Any damage will cancel the effect.,Allows walking over water.
547,Rank 3,Heals a friendly target for $s1.,
548,Rank 3,Casts a bolt of lightning at the target for $s1 Nature damage.,
550,Rank 1,Target is immune to poison for $d and is cured of any existing poisons.,Immune to Poison.
552,,"Attempts to cure $s2 disease effect on the target, and $10872s1 more disease effect every $t1 seconds for $d.",Attempts to dispel $10872s1 disease every $t1 seconds.
553,,,
555,,,
556,,Yanks the caster through the twisting nether back to $z.  Speak to an Innkeeper in a different place to change your home location.,
557,Rank 2,Teaches Lightning Shield (Rank 2).,
558,Rank 1,Teaches Purge.,
559,Rank 3,Teaches Exorcism (Rank 3).,
560,Rank 2,Teaches Spirit Armor (Rank 2).,
561,Rank 2,Teaches Molten Blast (Rank 2).,
562,Rank 1,Teaches Water Walking.,
563,Rank 6,Teaches Moonfire (Rank 6).,
565,Rank 3,Teaches Healing Wave (Rank 3).,
566,Rank 3,Teaches Lightning Bolt (Rank 3).,
567,Rank 2,Teaches Undying Strength (Rank 2).,
568,,,Movement speed reduced by $s3%.
569,Rank 2,Teaches Nullify Poison (Rank 2).,
570,Rank 1,Teaches Far Sight.,
571,Rank 2,Teaches Nullify Disease (Rank 2).,
573,Rank 3,Teaches Moonfire (Rank 3).,
574,Rank 1,Teaches Redemption.,
575,Rank 2,Teaches Unyielding Will (Rank 2).,
577,Rank 1,Teaches Astral Recall.,
578,,Summons and dismisses a rideable black wolf.,Increases speed by $s2%.
579,,Summons and dismisses a rideable red wolf.,Increases speed by $s2%.
580,,Summons and dismisses a rideable Timber Wolf.,Increases speed by $s2%.
581,,Summons and dismisses a rideable winter wolf.,Increases speed by $s2%.
585,Rank 1,Smite an enemy for $s1 Holy damage.,
586,Rank 1,"Fade out, discouraging enemies from attacking you for $d.",Reduced threat level.
587,Rank 1,"Conjures $s1 $lmuffin:muffins;, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
588,Rank 1,"A burst of Holy energy fills the caster, increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used.",Increases armor by $s1.
589,Rank 1,A word of darkness that causes $o1 Shadow damage over $d.,$s1 Shadow damage every $t1 seconds.
591,Rank 2,Smite an enemy for $s1 Holy damage.,
592,Rank 2,"Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",Absorbs damage.
594,Rank 2,A word of darkness that causes $o1 Shadow damage over $d.,$s1 Shadow damage every $t1 seconds.
595,,Increase party's armor until duration expires or the priest stops praying.,
596,Rank 1,A powerful prayer heals party members within $a1 yards for $s1.,
597,Rank 2,"Conjures $s1 $lloaf:loaves; of bread, providing the mage and $ghis:her; allies with something to eat.

Conjured items disappear if logged out for more than 15 minutes.",
598,Rank 3,Smite an enemy for $s1 Holy damage.,
600,Rank 3,"Draws on the soul of the party member to shield them, absorbing $s1 damage.  Lasts $d.  While the shield holds, spellcasting will not be interrupted by damage.  Once shielded, the target cannot be shielded again for $6788d.",Absorbs damage.
601,Rank 1,Increases your attack rating with One-Handed Swords by $s1.,
602,Rank 3,"A burst of Holy energy fills the caster, increasing armor by $s1.  Each melee or ranged damage hit against the priest will remove one charge.  Lasts $d or until $n charges are used.",Increases armor by $s1.
603,,"Curses the target with impending doom, causing $s1 Shadow damage after $d.  If the target dies from this damage, there is a chance that a Doomguard will be summoned.  Cannot be cast on players.",Causes $s1 Shadow damage after $d.
604,Rank 1,"Dampens magic used against the targeted party member, decreasing damage taken from spells by up to $s1 and healing spells by up to $s2.  Lasts $d.",Reduces magic damage taken by up to $s1 and healing by up to $s2.
605,Rank 1,"Controls a humanoid mind up to level $s1, but increases the time between its attacks by $s3%.  Lasts up to $d.",Charmed.  Time between attacks increased by $s3%.
606,Rank 1,Drains $o1 mana from the target over $d.,"Mana drain, $s1 points every 5 seconds."
607,,,
608,Rank 1,Teaches Conjure Food (Rank 1).,
609,Rank 1,Teaches Inner Fire (Rank 1).,
610,Rank 1,Teaches Shadow Word: Pain (Rank 1).,
611,Rank 1,Teaches Seal of Sacrifice (Rank 1).,
612,Rank 2,Teaches Holy Smite (Rank 2).,
613,Rank 2,Teaches Lesser Heal (Rank 2).,
614,Rank 1,Teaches Shadow Word: Fumble (Rank 1).,
615,Rank 1,Teaches Dispel Magic (Rank 1).,
616,Rank 2,Teaches Shadow Word: Pain (Rank 2).,
618,Rank 1,Teaches Prayer of Healing (Rank 1).,
619,Rank 2,Teaches Conjure Food (Rank 2).,
620,Rank 3,Teaches Holy Smite (Rank 3).,
622,Rank 3,Teaches Lesser Heal (Rank 3).,
624,Rank 3,Teaches Inner Fire (Rank 2).,
625,Rank 1,Teaches Curse of Archimonde.,
626,Rank 3,Teaches Seal of Might (Rank 3).,
627,Rank 1,Teaches Mind Control.,
628,Rank 1,Teaches Mind Rot.,
633,Rank 1,Heals a friendly target for an amount equal to the Paladin's maximum health.  Drains all of the Paladin's remaining mana when used.,
635,Rank 1,Heals a friendly target for $s1.,
639,Rank 2,Heals a friendly target for $s1.,
642,Rank 1,"Protects the paladin from all damage and spells for $d, but increases the time between your attacks by $s2%.  Once protected, the target cannot be made invulnerable by Divine Shield, Divine Protection or Blessing of Protection again for $25771d.","Immune to all attacks and spells, but increases the time between your attacks by $s2%."
643,Rank 3,Gives $s1 additional armor to party members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.,Increases armor by $s1.
647,Rank 3,Heals a friendly target for $s1.,
650,Rank 1,Teaches Blood Boil (Rank 1).,
651,Rank 5,Teaches Holy Word: Shield (Rank 5).,
652,Rank 1,,
653,Rank 1,Teaches Seal of Might (Rank 1).,
654,Rank 2,Teaches Fear (Rank 2).,
655,Rank 2,Teaches Blood Boil (Rank 2).,
656,Rank 2,Teaches Holy Light (Rank 2).,
657,Rank 4,Teaches Create Greater Healthstone.,
659,Rank 1,Teaches Divine Shield (Rank 1).,
661,Rank 3,Teaches Blood Boil (Rank 3).,
662,Rank 2,Teaches Seal of Might (Rank 2).,
663,Rank 3,Teaches Fear (Rank 3).,
664,Rank 3,Teaches Holy Light (Rank 3).,
665,,,
668,,,
669,,,
670,,,
671,,,
672,,,
673,,Increases armor by $s1 for $d.,Armor increased by $s1.
674,Passive,Allows one-hand and off-hand weapons to be equipped in the off-hand.,
676,,Disarm the enemy's weapon for $d.,Disarmed!
685,Rank 1,,
686,Rank 1,"Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
687,Rank 1,"Protects the caster, increasing armor by $m1 and restores $s2 Health per 5 sec. for $d.",Increases armor by $s1 and restores $s2 Health per 5 sec.
688,Summon,Summons an Imp under the command of the Warlock.,
689,Rank 1,Transfers $s1 health every second from the target to the caster.  Lasts $d.,Drains $s1 health each second to the caster.
690,,Blasts a target for $s1 Fire damage.,
691,Summon,Summons a Felhunter under the command of the Warlock.,
692,,,
693,,"Creates a Minor Soulstone.  The Soulstone can be used to store one target's soul.  If the target dies while their soul is stored, they will be able to resurrect with $3026s1 health and $3026q1 mana.

Conjured items disappear if logged out for more than 15 minutes.",
694,Rank 1,"A mocking attack that causes $s1 damage, a moderate amount of threat and forces the target to focus attacks on you for $d.",Taunted.
695,Rank 2,"Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
696,Rank 2,"Protects the caster, increasing armor by $m1 and restores $s2 Health per 5 sec. for $d.",Increases armor by $s1 and restores $s2 Health per 5 sec.
697,Summon,Summons a Voidwalker under the command of the Warlock.,
698,,"Begins a ritual that summons the targeted group member.  Requires the caster and 2 additional party members to complete the ritual.  In order to participate, all players must be out of combat and right-click the portal and not move until the ritual is complete.",
699,Rank 2,Transfers $s1 health every second from the target to the caster.  Lasts $d.,Drains $s1 health each second to the caster.
700,Rank 1,Puts the enemy target to sleep for up to $d.  Any damage caused will awaken the target.  Only one target can be asleep at a time.,Asleep.
701,,Blasts a target for $s1 Fire damage.,
702,Rank 1,Damage caused by the target is reduced by $s1 for $d.  Only one Curse per Warlock can be active on any one target.,Physical damage done reduced by $s1.
703,Rank 1,"Garrote the enemy, causing $o1 damage over $d, increased by your Attack Power.  Must be stealthed and behind the target.  Awards $s2 combo $lpoint:points;.",$s1 damage every $t1 seconds.
704,Rank 1,"Curses the target with recklessness, increasing melee attack power by $s1 but reducing armor by $s2 for $d.  Cursed enemies will not flee and will ignore Fear and Horror effects.  Only one Curse per Warlock can be active on any one target.",Increases melee attack power by $s1 and decreases armor by $s2.   Target will not flee and will ignore Fear and Horror effects.
705,Rank 3,"Sends a shadowy bolt at the enemy, causing $s1 Shadow damage.",
706,Rank 1,"Protects the caster, increasing armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec. for $d.","Increases armor by $s1, Shadow resistance by $s2 and restores $s3 health every 5 sec."
707,Rank 2,Burns the enemy for ${$m2*$<mult>} Fire damage and then an additional $o1 Fire damage over $d.,$s1 Fire damage every $t1 seconds.
709,Rank 3,Transfers $s1 health every second from the target to the caster.  Lasts $d.,Drains $s1 health each second to the caster.
710,Rank 1,"Banishes the enemy target, preventing all action but making it invulnerable for up to $d.  Only one target can be banished at a time.  Only works on Demons and Elementals.","Invulnerable, but unable to act."
711,,Blasts all enemies in a 10 yard radius with $s1 flame damage.,
712,Summon,Summons a Succubus under the command of the Warlock.,
713,Summon,Summons an Incubus under the command of the Warlock.,
714,Rank 1,Teaches Drain Life (Rank 1).,
719,Rank 1,Teaches Create Soulstone.,
720,,,Entangled
721,Rank 2,Teaches Shadow Bolt (Rank 2).,
722,Rank 2,Teaches Demon Skin (Rank 2).,
724,Rank 1,Creates a holy Lightwell near the priest.  Members of your raid or party can click the Lightwell to restore $7001o1 health over $7001d.  Being attacked cancels the effect.  Lightwell lasts for $d or 5 charges.,
725,Rank 2,Teaches Drain Life (Rank 2).,
726,Rank 1,Teaches Sleep (Rank 1).,
727,Rank 1,Teaches Cripple.,
729,Rank 1,Teaches Curse of Weakness (Rank 1).,
730,Rank 1,Teaches Health Funnel (Rank 1).,
731,,,Entangled
732,Rank 3,Teaches Shadow Bolt (Rank 3).,
733,Rank 1,Teaches Demon Armor (Rank 1).,
734,Rank 2,Teaches Immolate (Rank 2).,
735,Rank 2,Teaches Divine Protection (Rank 2).,
736,Rank 3,Teaches Drain Life (Rank 3).,
739,,,
740,Rank 1,Regenerates all nearby group members for $s1 every $t1 seconds for $d.  Druid must channel to maintain the spell.,Heals nearby party members for $s1 every $t1 seconds.
741,,,
742,,,
743,Racial,,
744,,Inflicts Nature damage to an enemy every $t1 sec. for $d.,Nature damage inflicted every $t1 sec.
745,,"Casts a web over an enemy, immobilizing it for $d.",Immobilized.
746,Rank 1,Heals $o1 damage over $d.,Healing $s1 damage every $t1 seconds.
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
755,Rank 1,Gives $s1 health to the caster's pet every second for $d as long as the caster channels.,Transferring Life.
758,Rank 1,"Enchants the main hand weapon with fire, granting each attack a chance to deal $17809s1 additional fire damage.",
759,,"Conjures a mana agate that can be used to instantly restore $5405s1 mana.

Conjured items disappear if logged out for more than 15 minutes.",
766,Rank 1,Teaches Water Elemental (Rank 1).,
768,Shapeshift,"Shapeshift into cat form, increasing melee attack power by $3025s1 plus Agility.  Also protects the caster from Polymorph effects and allows the use of various cat abilities.

The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.",Immunity to Polymorph effects.  Increases melee attack power by $3025s1 plus Agility.
769,Rank 3,"Swipe $x1 nearby enemies, inflicting $s1 damage.",
770,Rank 1,"Decrease the armor of the target by $s1 for $d.  While affected, the target cannot stealth or turn invisible.",Decreases armor by $s1.  Cannot stealth or turn invisible.
772,Rank 1,Wounds the target causing them to bleed for $o1 damage over $d.,Bleeding for $s1 damage every $t1 seconds.
774,Rank 1,Heals the target for $o1 over $d.,Heals $s1 damage every $t1 seconds.
775,Shapeshift,"Transforms the druid into a tree form, removing all harmful physical effects and protecting from all physical attacks for $d, but during that time you cannot attack, move or cast spells.  Also protects the caster from polymorph effects.

The act of shapeshifting frees the caster of roots, snares, and freeze effects.","Immune to all physical attacks and polymorph effects.  Cannot attack, move or cast spells."
776,Rank 1,"Abolishes all magic on the friendly target, and prevents any magic from affecting the target for $d.",
778,Rank 2,"Decrease the armor of the target by $s1 for $d.  While affected, the target cannot stealth or turn invisible.",Decreases armor by $s1.  Cannot stealth or turn invisible.
779,Rank 1,"Swipe $x1 nearby enemies, inflicting $s1 damage.",
780,Rank 2,"Swipe $x1 nearby enemies, inflicting $s1 damage.",
781,Rank 1,"Attempts to disengage from the target, reducing threat.  Character exits combat mode.",
782,Rank 2,Thorns sprout from the friendly target causing $s1 Nature damage to attackers when hit.  Lasts $d.,Causes $s1 Nature damage to attackers.
783,Shapeshift,"Transforms the druid into a travel form, increasing movement speed by $5419s1%.  Also protects the caster from Polymorph effects.  Only useable outdoors.

The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.",Immune to Polymorph effects.  Movement speed increased by $5419s1%.
784,Rank 1,Teaches Faerie Fire (Rank 1).,
785,,,"Charmed.
Damage increased by $s2%.
Spells cast instantly.
All resistances increased by $2313s2.
Movement speed increased by $2313s3%.
"
786,Rank 1,Teaches Thorns (Rank 1).,
788,Rank 1,Teaches Rejuvenation (Rank 1).,
789,Rank 1,Teaches Divine Escape (Rank 1).,
790,Rank 1,Teaches Entangling Roots (Rank 1).,
791,Rank 1,Teaches Abolish Magic (Rank 1).,
792,Rank 1,Teaches Tranquility (Rank 1).,
793,Rank 2,Teaches Faerie Fire (Rank 2).,
794,,,
795,Rank 2,Teaches Thorns (Rank 2).,
796,Rank 2,,
797,Rank 1,,
798,,,
799,,,
800,,,
802,,,"Health is increased by $s1%.
Damage dealt is increased by $s3%."
804,,,Preparing to explode.
806,,Increases Strength by $s1 and does $s2 damage to you every $m2 sec for $d.,Increased Strength and periodic damage.
812,,Periodically casts mana burn.,Periodically casts mana burn.
813,,,
814,,,
815,,,
816,,,
817,,,
818,,Builds a campfire that increases the spirits of those nearby by 4 and allows cooking.,
819,Rank 1,Increases your armor by $s1.,
820,Rank 1,Restores 6 health per minute.,
821,Rank 1,Restores 6 mana per minute.,
822,,,
823,,,
824,Passive,,
825,Passive,,
826,Passive,,
827,,Increases riding speed by $s1.,
828,Passive,,
829,,,
830,,,
831,,,
833,,Instantly heals $s1 damage.  Also restores $o2 mana over $d.  Must remain seated while drinking.,Restores $/5;s2 mana per second.
834,,Increases armor by $s1 for $d.,Armor increased by $s1.
835,,Stuns target for $d.,Stunned.
836,,,
837,Rank 3,"Launches a bolt of frost at the enemy, causing ${$m2$*$<frostdamage>} to ${$M2*$<frostdamage>}  Frost damage and slowing movement speed by $s1% for $d.",Movement slowed by $w1%.
838,Rank 3,Teaches Frostbolt (Rank 3).,
839,,Increases your attack speed by $s1% for $d.,
842,Rank 2,Teaches Ethereal Form (Rank 2).,
844,Rank 2,Teaches Ice Armor (Rank 2).,
845,Rank 1,A sweeping attack that does your weapon damage plus $s1 to the target and his nearest ally.,
846,Rank 1,Teaches Flamestrike (Rank 1).,
848,Rank 1,Teaches Nature Resistance.,
849,,,
850,Rank 1,Pummel (Learn).,Pummel Aura Desc. (Learn)
851,Rank 3,Transforms the enemy into a helpless sheep that cannot cast spells or attack and movement speed is reduced by $s2% for up to $d.,"Cannot cast, attack or cast spells and movement speed is reduced by $s2%."
