ID,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAura,EffectAuraPeriod,EffectBasePoints,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectMiscValue[0],EffectMiscValue[1],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectSpellClassMask[0],EffectSpellClassMask[1],EffectSpellClassMask[2],EffectSpellClassMask[3],ImplicitTarget[0],ImplicitTarget[1],SpellID
678921,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,554,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,575
678923,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,577
678924,0,0,35,0,0,13,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,463
678925,0,1,35,0,0,14,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,463
678926,0,2,35,0,0,34,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,463
678927,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6148,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,481
678928,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,482
678929,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,483
678931,0,0,8,0.5,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
678932,0,0,6,0,0,8,3000,8,0.11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,139
678933,0,0,2,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,142
678934,0,0,252,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,446
678935,0,0,252,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,447
678936,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,448
678937,0,0,6,0,0,9,0,24,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,450
678938,0,0,252,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9,556
678939,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,325,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,557
678940,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,370,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,558
678941,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5615,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,559
678942,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,544,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,560
678943,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,545,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,561
678944,0,0,6,0,0,8,1000,19,0.14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,136
678945,0,0,6,0,0,26,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,512
678946,0,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,329,67,0,0,0,0,0,0,18,0,513
678947,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,25,47,514
678948,0,0,28,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15630,61,0,0,0,0,0,0,17,0,518
678949,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5388,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,519
678951,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5138,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,496
678952,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,122,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,497
678953,0,0,6,0,0,25,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,498
678954,0,1,6,0,0,39,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,498
678955,0,2,6,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,126,0,0,0,0,0,0,0,1,0,498
678956,0,0,6,0,0,137,0,-6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,67
678957,0,1,6,0,0,137,0,-6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,67
678959,0,0,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4277,65,12,0,0,0,0,0,32,0,126
678960,0,1,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,126
678961,0,0,38,0,0,0,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,128
678962,0,1,6,0,0,69,0,399,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,126,0,0,0,0,0,0,0,1,0,128
678963,0,0,6,0,0,105,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,130
678964,0,0,6,0,0,19,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,132
678965,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,512,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,520
678966,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,597,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,619
678967,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,550,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,569
678968,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6196,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,570
678969,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,552,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,571
678970,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8925,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,573
678971,0,0,2,0,0,0,0,4,1.3,1,0,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,68
678972,0,0,6,0,0,36,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,1,0,71
678973,0,0,6,0,0,56,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,620,0,0,0,0,0,0,0,6,0,228
678974,0,1,6,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,228
678975,0,2,6,1,0,79,0,-67,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,0,228
678976,0,0,6,0,0,138,0,-36,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,246
678977,0,1,6,0,0,33,0,-151,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,246
678979,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,359,0,0,0,0,0,0,0,1,0,581
678980,0,1,6,0,0,32,0,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,581
678981,0,0,2,0,0,0,0,12,0.123,1,0,5,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,585
678982,0,0,6,0,0,103,0,-56,0,1,0,1,0,0,0,0,-3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,586
678983,0,0,24,0,0,0,0,1,0,1,0,1,5349,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,587
678984,0,0,6,0,0,26,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,113
678985,0,0,56,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,416,0,0,0,0,0,0,0,32,0,688
678986,0,0,6,0,0,99,0,-31,0,1,0,1,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,22,15,99
678987,0,0,1,1,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7
678988,0,0,27,0,0,3,1000,24,0.042,1,0,1,0,0,0,0,0.1,0,0,1,0,0,0,1,0,0,14,14,0,0,0,0,28,0,10
678989,0,0,6,1,0,31,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11
678990,0,0,6,1,0,3,1000,1,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
678991,0,0,6,0,0,6,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,260
678992,0,0,28,1000,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48,61,0,0,0,0,0,0,0,0,261
678993,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,262
678994,0,0,6,0,0,15,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,467
678995,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,305,0,0,0,0,0,0,0,1,0,468
678996,0,1,6,0,0,32,0,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,468
679000,0,0,6,0,0,33,0,-41,0,1,0,1,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,116
679001,0,1,2,0,0,0,0,17,0.163,1,0,3,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,116
679002,0,0,252,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,20,9,3
679003,0,0,252,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,4
679004,0,0,6,1,0,58,0,199,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13
679005,0,0,252,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,34
679006,0,0,252,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,35
679007,0,0,6,0,0,13,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,43
679008,0,1,98,0,0,0,0,56,0,1,0,37,0,0,0,0,0,0,0,1,0,0,0,1,75,0,8,0,0,0,0,0,22,15,45
679009,0,0,6,1,0,31,0,99,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47
679010,0,0,10,1,0,0,0,9,1,1,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49
679011,0,0,252,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,19,50
679012,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,526,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,536
679013,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,365,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,537
679015,0,0,6,0,0,138,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,553
679017,0,0,28,1000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,852,61,0,0,0,0,0,0,18,0,555
679018,0,0,6,1,0,52,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19
679019,0,0,6,1,0,8,1000,2,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22
679020,0,0,2,0,0,0,0,13,0.123,1,0,9,0,0,0,0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,133
679021,0,1,6,0,0,3,2000,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,133
679022,0,0,2,0,0,0,0,30,0.271,1,0,15,0,0,0,0,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,143
679023,0,1,6,0,0,3,2000,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,143
679024,0,0,2,0,0,0,0,52,0.5,1,0,21,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,145
679025,0,1,6,0,0,3,2000,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,145
679026,0,0,6,1,0,84,0,16,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,433
679028,0,0,6,0,0,104,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,546
679029,0,0,10,0,0,0,0,128,0.5,0.2,0,27,0,0,0,0,1.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,45,0,547
679030,0,0,2,0,0,0,0,44,0.554,1,0,9,0,0,0,0,0.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,548
679032,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,589,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,610
679033,0,0,10,1,0,0,0,40,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24
679034,0,0,6,1,0,12,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,25
679035,0,0,11,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26
679036,0,0,12,1,0,0,0,0,1,1,0,6,0,0,0,3.14159,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,17,0,27
679037,0,0,6,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679038,0,1,2,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679039,0,2,328,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,101
679040,0,0,21,1,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,90,0,0,0,0,0,0,0,0,0,108
679041,0,0,33,0,0,0,0,14,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,26,0,491
679043,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,356,0,0,0,0,0,0,0,1,0,578
679044,0,1,6,0,0,32,0,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,578
679045,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4270,0,0,0,0,0,0,0,1,0,579
679046,0,1,6,0,0,32,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,579
679047,0,0,6,0,0,78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,358,0,0,0,0,0,0,0,1,0,580
679048,0,1,6,0,0,32,0,59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,580
679050,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6940,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,611
679051,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,591,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,612
679053,0,0,77,0,0,0,0,38,0,1,0,9,0,0,0,0,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,0,635
679055,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,491,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,493
679056,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,205,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,494
679057,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,851,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,495
679058,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199
679059,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199
679060,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200
679061,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,200
679062,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201
679063,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,201
679064,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202
679065,0,1,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,202
679066,0,0,35,0,0,13,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,464
679067,0,1,35,0,0,14,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,464
679068,0,2,35,0,0,35,0,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,464
679069,0,0,6,0,0,39,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,642
679070,0,1,6,0,0,138,0,-101,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,642
679071,0,2,6,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,126,0,0,0,0,0,0,0,1,0,642
679075,0,0,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,5
679076,0,0,6,0,0,138,0,-46,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679077,0,1,6,0,0,140,0,-46,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679078,0,2,6,0,0,33,0,-41,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,89
679080,0,0,35,0,0,22,0,54,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,10,0,0,0,0,0,1,0,465
679082,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,602,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,624
679083,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,603,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,625
679084,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6739,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,626
679085,0,0,6,0,0,3,3000,4,0.067,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,589
679086,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,613
679087,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,593,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,614
679088,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,527,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,615
679089,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,594,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,616
679090,0,0,31,0,0,0,0,99,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,96
679091,0,1,6,0,0,3,2000,1247,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,96
679092,0,0,121,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,53
