ID,DifficultyID,Category,DefenseType,DispelType,Mechanic,PreventionType,StartRecoveryCategory,ChargeCategory,SpellID
70218,0,0,1,1,0,1,133,0,467
70219,0,0,0,0,21,0,0,0,468
70222,0,0,1,1,0,1,133,0,116
70223,0,0,1,0,0,1,0,0,3
70224,0,0,1,0,0,1,0,0,4
70225,0,0,1,0,0,1,0,0,13
70226,0,0,1,0,0,1,0,0,34
70227,0,0,1,0,0,1,0,0,35
70228,0,32,1,0,12,1,0,0,45
70229,0,44,0,0,0,0,0,0,47
70230,0,0,1,0,0,1,0,0,49
70231,0,0,1,0,0,1,0,0,50
70232,0,0,1,0,0,1,0,0,536
70233,0,0,1,0,0,1,0,0,537
70235,0,55,1,1,0,1,0,0,553
70237,0,23,1,0,0,1,0,0,555
70238,0,0,1,0,0,1,0,0,22
70239,0,0,1,0,0,1,133,0,133
70240,0,0,1,0,0,1,133,0,143
70241,0,0,1,0,0,1,133,0,145
70242,0,11,0,0,0,0,0,0,433
70244,0,0,1,1,0,1,133,0,546
70245,0,0,1,0,0,1,133,0,547
70246,0,0,1,0,0,1,133,0,548
70248,0,0,1,0,0,1,0,0,610
70249,0,0,1,0,0,1,0,0,24
70251,0,0,1,0,0,1,0,0,26
70252,0,0,1,0,0,1,0,0,27
70253,0,32,2,0,0,2,133,0,101
70254,0,0,1,0,0,1,0,0,108
70255,0,0,1,0,0,1,133,0,491
70257,0,0,0,0,21,0,0,0,578
70258,0,0,0,0,21,0,0,0,579
70259,0,0,0,0,21,0,0,0,580
70261,0,0,1,0,0,1,0,0,611
70262,0,0,1,0,0,1,0,0,612
70264,0,0,1,0,0,1,133,0,635
70266,0,0,1,0,0,1,0,0,493
70267,0,0,1,0,0,1,0,0,494
70268,0,0,1,0,0,1,0,0,495
70269,0,0,1,0,0,1,0,0,199
70270,0,0,1,0,0,1,0,0,200
70271,0,0,1,0,0,1,0,0,201
70272,0,0,1,0,0,1,0,0,202
70273,0,0,1,0,0,1,0,0,464
70274,0,37,1,0,25,1,133,0,642
70278,0,0,1,1,11,1,133,0,89
70280,0,0,1,0,0,1,133,0,465
70282,0,0,1,0,0,1,0,0,624
70283,0,0,1,0,0,1,0,0,625
70284,0,0,1,0,0,1,0,0,626
70285,0,0,1,1,0,1,133,0,589
70286,0,0,1,0,0,1,0,0,613
70287,0,0,1,0,0,1,0,0,614
70288,0,0,1,0,0,1,0,0,615
70289,0,0,1,0,0,1,0,0,616
70290,0,0,0,0,0,0,133,0,96
70291,0,0,2,0,0,2,133,0,53
70294,0,0,1,0,0,1,0,0,627
70295,0,0,1,2,0,1,133,0,603
70297,0,0,1,0,0,1,0,0,110
70298,0,0,1,0,0,1,0,0,111
70299,0,0,1,0,0,1,0,0,112
70301,0,0,1,0,0,1,0,0,618
70304,0,0,1,0,0,1,0,0,790
70306,0,0,1,1,0,1,133,0,689
70308,0,0,1,0,0,1,133,0,591
70309,0,0,1,0,0,1,0,0,196
70310,0,0,1,0,0,1,0,0,197
70311,0,0,1,0,0,1,0,0,198
70312,0,0,1,0,0,1,0,0,263
70313,0,22,1,1,0,1,0,0,509
70314,0,0,1,0,0,1,0,0,443
70315,0,0,1,0,0,1,0,0,444
70316,0,0,1,0,0,1,0,0,445
70317,0,0,1,1,7,1,133,0,339
70318,0,0,1,0,0,1,0,0,791
70319,0,0,1,0,0,1,0,0,721
70320,0,0,1,0,0,1,0,0,722
70322,0,1145,0,0,0,1,133,0,724
70323,0,0,1,0,0,1,133,0,596
70324,0,0,1,1,0,1,133,0,550
70325,0,0,1,1,0,1,133,0,552
70326,0,0,1,1,0,1,133,0,594
70328,0,0,1,0,0,1,0,0,6094
70329,0,0,1,0,0,1,0,0,203
70330,0,0,1,0,0,1,0,0,204
70331,0,0,0,1,0,0,0,0,31817
70332,0,0,0,0,21,0,0,0,458
70333,0,0,1,0,0,1,0,0,15
70334,0,0,1,1,0,1,0,0,16
70335,0,0,1,0,0,1,0,0,18
70336,0,0,3,0,0,2,0,0,75
70338,0,0,1,0,0,1,0,0,77
70339,0,4,1,0,0,0,0,0,437
70340,0,270,2,0,12,2,133,0,408
70341,0,37,1,1,0,1,0,0,409
70342,0,37,1,1,0,1,0,0,410
70343,0,37,1,1,0,1,0,0,411
70344,0,85,1,0,0,1,133,0,421
70345,0,0,1,0,0,1,133,0,639
70347,0,0,1,0,0,1,0,0,521
70348,0,0,1,0,0,1,0,0,522
70349,0,0,1,0,0,1,133,0,526
70350,0,22,1,1,0,1,0,0,457
70352,0,0,2,0,0,2,0,0,78
70353,0,0,1,0,0,1,0,0,81
70355,0,44,0,0,0,2,0,0,100
70356,0,0,1,0,0,1,0,0,33
70357,0,0,1,0,0,1,133,0,453
70358,0,0,1,0,0,1,0,0,454
70359,0,62,1,0,0,1,0,0,455
70360,0,35,1,1,0,1,133,0,122
70361,0,0,1,0,0,1,0,0,504
70362,0,0,1,0,0,1,0,0,506
70363,0,22,1,1,6,1,0,0,507
70365,0,0,2,0,0,2,0,0,285
70366,0,65,2,1,0,2,0,0,302
70367,0,4,1,0,0,0,0,0,438
70368,0,4,1,0,0,0,0,0,439
70369,0,4,1,0,0,0,0,0,440
70370,0,4,1,0,0,0,0,0,441
70371,0,0,1,0,0,1,0,0,442
70372,0,0,1,0,0,1,0,0,31
70373,0,0,1,0,0,1,0,0,538
70374,0,0,1,1,0,1,133,0,602
70375,0,0,1,1,0,1,133,0,606
70376,0,0,1,0,0,1,0,0,608
70377,0,0,1,0,0,1,0,0,609
70378,0,0,1,0,0,1,0,0,484
70379,0,0,1,0,0,1,0,0,921
70380,0,0,1,0,0,1,0,0,922
70381,0,0,1,0,0,1,0,0,931
70384,0,0,1,0,0,1,133,0,913
70386,0,0,1,0,0,1,0,0,1011
70387,0,0,1,1,0,0,0,0,1139
70388,0,0,1,0,0,1,133,0,982
70389,0,0,1,0,0,1,0,0,983
70390,0,0,1,0,0,1,133,0,984
70391,0,0,1,0,0,1,0,0,985
70392,0,0,0,0,21,0,0,0,470
70393,0,0,0,0,21,0,0,0,471
70394,0,0,0,0,21,0,0,0,472
70395,0,0,1,1,0,1,133,0,527
70396,0,0,1,1,0,1,133,0,528
70399,0,0,1,0,0,1,133,0,693
70400,0,0,1,0,0,1,0,0,852
70401,0,32,1,1,12,1,133,0,853
70402,0,0,1,0,0,1,0,0,854
70403,0,22,1,1,0,1,0,0,855
70404,0,0,1,1,0,1,133,0,696
70408,0,32,1,0,12,0,0,0,56
70409,0,0,1,0,0,1,0,0,58
70410,0,0,1,0,0,1,0,0,59
70411,0,0,1,0,0,1,0,0,60
70412,0,0,1,0,0,1,0,0,61
70413,0,0,1,1,0,1,0,0,65
70414,0,0,1,6,0,1,133,0,66
70415,0,0,1,0,0,1,0,0,1095
70416,0,0,1,0,0,1,0,0,1096
70417,0,0,1,0,0,1,0,0,962
70420,0,0,1,0,0,1,0,0,565
70421,0,0,1,0,0,1,0,0,566
70422,0,0,1,0,0,1,133,0,697
70423,0,0,1,0,0,1,133,0,698
70424,0,35,1,0,0,1,0,0,711
70425,0,85,2,0,0,2,133,0,779
70426,0,0,1,0,0,1,0,0,650
70427,0,0,1,0,0,1,0,0,874
70429,0,0,1,0,0,1,0,0,924
70430,0,0,1,0,0,1,0,0,926
70431,0,0,1,0,0,1,0,0,928
70433,0,0,1,0,0,1,0,0,1025
70434,0,0,1,0,0,1,133,0,1026
70435,0,0,1,0,0,1,0,0,1027
70437,0,0,1,0,0,1,0,0,1029
70438,0,0,1,0,0,1,133,0,695
70439,0,0,1,0,0,1,0,0,562
70440,0,0,1,0,0,1,0,0,563
70441,0,97,0,0,0,0,0,0,818
70442,0,85,2,0,0,2,133,0,780
70443,0,82,2,0,0,2,133,0,781
70444,0,85,1,0,0,1,133,0,930
70445,0,0,1,0,0,1,0,0,880
70446,0,0,1,0,0,1,133,0,686
70447,0,0,1,1,0,1,133,0,707
70448,0,0,1,1,0,1,133,0,709
70449,0,0,1,0,0,1,133,0,647
70456,0,0,0,1,0,0,0,0,877
70458,0,0,1,0,0,1,0,0,914
70459,0,0,0,0,0,0,133,0,783
70460,0,0,1,1,0,1,133,0,687
70461,0,0,1,0,0,1,0,0,789
70462,0,0,1,1,10,1,133,0,700
70463,0,0,1,0,0,1,0,0,701
70464,0,0,1,0,0,1,0,0,659
70465,0,0,1,0,0,1,0,0,793
70466,0,0,1,0,0,1,0,0,795
70467,0,0,1,0,0,1,0,0,732
70469,0,0,2,0,15,2,133,0,772
70470,0,0,1,0,0,1,133,0,915
70471,0,0,1,0,0,1,0,0,846
70473,0,62,1,0,0,1,0,0,932
70475,0,0,1,0,0,1,0,0,1039
70476,0,0,1,0,0,1,0,0,784
70477,0,0,1,0,0,1,0,0,786
70478,0,0,1,0,0,1,0,0,1037
70479,0,0,1,1,0,1,133,0,1094
70480,0,0,1,0,0,1,0,0,661
70481,0,0,1,0,0,1,0,0,663
70482,0,0,1,0,0,1,0,0,664
70483,0,0,1,0,0,1,0,0,668
70484,0,0,1,0,0,1,0,0,669
70485,0,0,1,0,0,1,0,0,671
70486,0,0,0,1,0,0,0,0,806
70487,0,0,1,0,0,1,0,0,813
70488,0,0,1,0,0,1,0,0,814
70489,0,0,1,0,0,1,0,0,657
70490,0,0,1,0,0,1,0,0,792
70491,0,0,1,0,0,1,133,0,1042
70492,0,0,1,0,0,1,0,0,1043
70493,0,0,1,0,0,1,0,0,960
70494,0,0,1,0,0,1,0,0,866
70495,0,22,1,1,6,1,0,0,867
70496,0,0,1,0,0,1,0,0,1023
70497,0,34,1,0,7,1,0,0,745
70498,0,0,0,0,16,0,0,0,746
70500,0,0,1,0,0,1,0,0,936
70501,0,0,2,0,15,2,133,0,703
70502,0,1152,0,0,0,0,0,0,800
70504,0,59,0,0,0,0,0,0,430
70505,0,59,0,0,0,0,0,0,431
70506,0,59,0,0,0,0,0,0,432
70507,0,11,0,0,0,0,0,0,435
70508,0,0,1,0,0,1,133,0,529
70509,0,0,0,0,0,0,133,0,530
70510,0,0,1,0,0,1,0,0,531
70511,0,0,1,0,0,1,0,0,532
70512,0,0,1,0,0,1,0,0,533
70513,0,0,1,0,0,1,0,0,534
70516,0,0,1,1,0,1,133,0,782
70517,0,0,1,0,0,1,133,0,943
70518,0,0,1,0,0,1,0,0,944
70519,0,0,1,0,0,1,0,0,946
70520,0,0,1,0,0,1,133,0,1002
70521,0,0,1,0,0,1,0,0,1003
70522,0,0,1,0,0,1,133,0,1004
70523,0,0,1,0,0,1,0,0,1005
70524,0,0,1,1,0,1,133,0,604
70525,0,0,1,1,1,1,133,0,605
70526,0,0,1,0,0,1,0,0,574
70527,0,0,1,0,0,1,0,0,628
70528,0,0,1,0,0,1,0,0,725
70529,0,0,1,0,0,1,0,0,726
70530,0,0,1,0,0,1,0,0,727
70532,0,0,1,0,0,1,0,0,729
70533,0,0,1,0,0,1,0,0,1174
70534,0,0,1,1,0,1,133,0,837
70535,0,0,1,0,0,1,0,0,838
70537,0,55,1,1,0,1,0,0,839
70540,0,0,1,0,0,1,0,0,952
70542,0,0,0,1,0,0,0,0,1138
70544,0,88,2,0,0,2,133,0,72
70548,0,0,1,0,0,1,0,0,427
70549,0,0,1,2,0,1,133,0,1714
70551,0,0,1,0,0,1,0,0,842
70552,0,0,1,0,0,1,0,0,844
70553,0,0,2,0,0,2,0,0,845
70554,0,0,1,0,0,1,133,0,857
70555,0,0,1,0,0,1,0,0,858
70556,0,0,1,0,0,1,0,0,860
70558,0,0,1,0,0,1,0,0,862
70559,0,0,1,0,0,1,0,0,815
70563,0,0,1,0,0,1,0,0,690
70564,0,0,1,0,0,1,133,0,691
70565,0,32,1,0,0,1,0,0,692
70566,0,0,1,0,0,1,0,0,1150
70567,0,0,1,1,0,1,133,0,588
70568,0,0,1,1,0,1,133,0,1008
70569,0,133,2,0,0,2,133,0,1009
70570,0,0,1,2,0,1,133,0,1010
70571,0,0,1,0,0,1,0,0,816
70572,0,0,1,0,0,1,0,0,817
70574,0,0,1,0,0,1,0,0,672
70575,0,0,1,0,0,0,0,0,673
70577,0,0,1,0,0,1,0,0,882
70578,0,0,0,0,0,0,133,0,883
70579,0,0,1,1,0,1,133,0,348
70580,0,82,1,0,0,1,0,0,355
70582,0,0,1,0,0,1,133,0,370
70584,0,0,1,0,0,1,0,0,674
70585,0,109,2,0,3,2,133,0,676
70586,0,19,1,0,0,1,133,0,879
70587,0,0,2,0,0,2,0,0,26025
70588,0,0,1,0,0,1,0,0,567
70589,0,1152,0,0,0,0,0,0,568
70590,0,0,1,0,0,1,133,0,712
70591,0,0,1,0,0,0,0,0,834
70592,0,40,2,0,0,2,0,0,748
70593,0,65,1,0,0,1,0,0,749
70594,0,0,1,0,0,1,133,0,759
70596,0,0,1,0,0,1,0,0,870
70597,0,132,2,0,0,2,133,0,871
70600,0,0,2,0,0,2,0,0,284
70602,0,0,1,0,0,1,0,0,502
70604,0,0,1,0,0,1,0,0,1031
70605,0,0,1,0,0,1,0,0,1033
70607,0,0,1,0,0,1,0,0,1035
70608,0,40,2,0,0,2,0,0,751
70609,0,40,2,0,0,2,0,0,752
70610,0,65,1,0,0,1,0,0,753
70611,0,0,1,0,0,1,133,0,755
70615,0,0,1,0,0,1,0,0,872
70618,0,37,1,1,0,1,0,0,863
70619,0,0,1,0,0,1,0,0,864
70620,0,35,1,1,0,1,133,0,865
70621,0,0,1,0,0,1,0,0,620
70623,0,0,1,0,0,1,0,0,27891
70624,0,0,1,0,0,1,0,0,622
70625,0,22,1,1,6,1,0,0,474
70626,0,0,1,1,0,1,133,0,1430
70630,0,0,1,0,0,1,0,0,766
70631,0,0,1,0,0,1,0,0,964
70634,0,0,1,0,0,1,133,0,939
70635,0,0,1,0,0,1,0,0,940
70637,0,0,1,0,0,1,133,0,475
70638,0,0,1,0,0,1,0,0,476
70639,0,0,1,0,0,1,0,0,477
70640,0,0,1,0,0,1,0,0,478
70642,0,0,1,0,0,1,0,0,967
70643,0,0,1,1,0,1,133,0,1044
70644,0,0,1,0,0,1,0,0,714
70645,0,0,1,1,0,1,133,0,905
70646,0,0,1,0,0,1,0,0,906
70647,0,0,1,0,0,1,0,0,908
70649,0,0,1,1,0,1,133,0,324
70650,0,0,1,0,0,1,133,0,331
70651,0,0,1,0,0,1,133,0,332
70653,0,0,1,2,0,1,133,0,1490
70656,0,0,1,0,0,1,0,0,1107
70659,0,0,1,0,0,1,0,0,719
70661,0,0,1,1,12,0,0,0,835
70662,0,0,1,0,0,1,0,0,910
70663,0,0,1,0,0,1,0,0,1017
70666,0,37,1,0,25,1,133,0,1020
70667,0,0,1,1,0,1,133,0,205
70668,0,0,1,0,0,1,0,0,227
70669,0,0,1,0,0,1,0,0,264
70670,0,0,1,0,0,1,0,0,266
70671,0,0,1,0,0,1,0,0,269
70672,0,0,1,0,0,1,0,0,271
70673,0,0,1,2,0,1,133,0,1108
70674,0,0,1,0,0,1,0,0,1109
70677,0,35,1,1,0,1,0,0,1112
70682,0,0,1,0,0,1,0,0,918
70683,0,0,1,0,0,1,0,0,920
70684,0,0,1,0,0,1,133,0,1735
70685,0,0,1,1,0,1,133,0,1075
70686,0,0,1,0,0,1,0,0,1076
70688,0,0,3,4,0,2,133,0,3034
70690,0,731,1,0,0,1,133,0,1122
70691,0,0,1,0,0,1,0,0,971
70692,0,65,1,0,0,1,0,0,1933
70694,0,40,2,0,0,2,133,0,1760
70695,0,82,2,0,0,2,133,0,1754
70696,0,0,1,0,0,1,0,0,1172
70698,0,0,1,0,0,1,0,0,2567
70699,0,0,1,0,0,1,133,0,2060
70700,0,0,1,0,0,1,133,0,2061
70706,0,88,2,0,0,2,133,0,1671
70707,0,88,2,0,0,2,133,0,1672
70708,0,0,1,0,0,1,133,0,1454
70709,0,0,0,0,0,0,133,0,1825
70710,0,0,0,0,0,0,133,0,27546
70715,0,0,3,4,0,2,133,0,1978
70717,0,0,1,0,0,1,133,0,1456
70718,0,88,2,0,0,2,133,0,1766
70719,0,0,2,0,15,2,133,0,27555
70720,0,33,2,0,14,2,133,0,1776
70721,0,0,1,0,0,1,0,0,2110
70722,0,88,2,0,0,2,133,0,1767
70723,0,88,2,0,0,2,133,0,1768
70724,0,88,2,0,0,2,133,0,1769
70725,0,0,1,1,0,1,133,0,1244
70728,0,24,1,0,0,0,0,0,1940
70730,0,0,1,0,0,1,133,0,1161
70731,0,0,0,0,0,0,133,0,1462
70732,0,0,3,0,0,2,0,0,1516
70734,0,0,1,1,0,1,133,0,774
70735,0,0,1,0,0,1,0,0,890
70737,0,0,1,0,0,1,0,0,894
70738,0,23,1,0,0,1,0,0,895
70740,0,0,1,1,18,1,133,0,27565
70741,0,0,2,0,0,2,133,0,1082
70742,0,0,1,0,0,1,0,0,1084
70745,0,55,0,1,0,0,0,0,3045
70746,0,0,1,0,0,1,0,0,897
70748,0,0,1,0,0,1,133,0,959
70750,0,0,1,0,0,1,0,0,1045
70753,0,0,1,1,0,1,133,0,2791
70754,0,0,1,0,0,1,133,0,1088
70755,0,0,1,0,0,1,0,0,1089
70756,0,4,1,0,0,0,0,0,2599
70757,0,50,2,0,0,2,0,0,1698
70758,0,0,1,0,0,1,0,0,1049
70759,0,35,0,1,0,0,0,0,1050
70761,0,0,1,0,0,1,0,0,651
70762,0,0,1,0,0,1,0,0,653
70763,0,0,1,1,0,1,133,0,1459
70764,0,0,1,1,0,1,133,0,1460
70767,0,66,0,0,0,0,0,0,2564
70768,0,4,1,0,0,0,0,0,2598
70769,0,0,1,1,10,1,133,0,1090
70770,0,0,1,0,0,1,0,0,1091
70772,0,0,1,0,0,1,0,0,1200
70774,0,0,1,0,0,1,0,0,654
70775,0,0,1,0,0,1,0,0,655
70776,0,0,1,0,0,1,0,0,656
70777,0,0,0,0,0,0,133,0,768
70781,0,0,1,0,0,1,0,0,2762
70782,0,0,1,0,0,1,0,0,3052
70783,0,0,1,0,0,1,0,0,3053
70784,0,85,2,0,0,2,133,0,769
70785,0,0,1,1,0,1,133,0,770
70786,0,0,1,0,0,1,0,0,1021
70787,0,0,1,0,0,1,0,0,848
70788,0,0,0,1,0,0,0,0,849
70790,0,0,2,0,0,2,133,0,2098
70791,0,4,1,0,0,0,0,0,2600
70792,0,21,1,1,0,1,0,0,2601
70793,0,0,1,6,0,1,133,0,885
70794,0,0,1,0,0,1,0,0,886
70795,0,0,1,2,0,1,133,0,1014
70796,0,0,1,1,7,1,133,0,1062
70797,0,0,1,0,0,1,0,0,1063
70798,0,0,1,0,0,1,133,0,1064
70799,0,4,1,0,0,0,0,0,2597
70800,0,0,1,0,0,1,0,0,2760
70801,0,0,1,0,0,1,0,0,2761
70802,0,0,1,0,0,1,0,0,1015
70803,0,0,1,0,0,1,0,0,956
70805,0,0,2,0,0,2,133,0,2589
70806,0,0,2,0,0,2,133,0,2590
70807,0,4,1,0,0,0,0,0,2023
70808,0,4,1,0,0,0,0,0,2024
70810,0,0,2,0,0,2,133,0,3029
70811,0,82,2,0,0,2,133,0,1755
70812,0,82,2,0,0,2,133,0,1756
70813,0,0,1,0,0,1,0,0,1167
70814,0,0,1,0,0,1,0,0,1168
70816,0,0,1,1,0,1,133,0,1449
70817,0,65,2,0,0,2,133,0,1495
70818,0,891,2,0,0,2,133,0,1680
70819,0,0,2,0,0,2,133,0,1757
70820,0,0,2,0,0,2,133,0,1758
70821,0,0,1,0,0,1,0,0,1936
70822,0,0,2,0,0,2,133,0,2591
70823,0,0,1,0,0,1,133,0,1455
70824,0,22,1,0,4,1,133,0,1725
70825,0,65,0,0,0,0,0,0,1731
70826,0,0,1,0,0,1,0,0,1087
70827,0,95,0,0,0,0,0,0,1864
70828,0,65,0,0,0,0,0,0,1732
70829,0,0,1,0,0,1,0,0,1153
70830,0,0,0,0,16,0,0,0,1159
70831,0,0,1,0,0,1,133,0,1160
70832,0,0,1,0,0,1,133,0,988
70833,0,0,1,0,0,1,0,0,989
70834,0,0,1,0,0,1,133,0,990
70835,0,0,1,0,0,1,0,0,991
70836,0,38,0,5,0,0,0,0,1786
70838,0,0,2,0,0,2,133,0,7386
70839,0,38,0,5,0,0,0,0,1787
70841,0,0,1,0,0,1,0,0,735
70842,0,0,1,0,0,1,0,0,736
70843,0,0,1,1,0,1,133,0,699
70844,0,46,1,0,0,1,133,0,740
70845,0,95,0,0,0,0,0,0,743
70846,0,0,1,4,0,1,0,0,744
70847,0,38,0,5,0,0,0,0,1784
70848,0,74,0,0,0,0,0,0,1794
70850,0,0,1,0,0,1,0,0,1192
70851,0,0,0,0,0,0,133,0,1066
70855,0,0,1,4,0,0,0,0,2819
70857,0,0,1,0,0,1,0,0,973
70858,0,1195,1,1,0,1,133,0,974
70860,0,0,1,0,0,1,0,0,1070
70861,0,0,1,0,0,1,0,0,979
70862,0,38,0,5,0,0,0,0,1785
70863,0,0,1,1,0,1,133,0,1706
70864,0,0,1,1,0,1,133,0,976
70865,0,0,1,1,0,1,0,0,1116
70866,0,0,1,0,0,1,0,0,981
70867,0,0,1,1,0,1,133,0,1243
70870,0,40,2,0,0,2,0,0,1708
70871,0,40,2,0,0,2,0,0,1709
70872,0,35,1,0,0,1,133,0,1535
70873,0,0,1,0,0,1,0,0,977
70874,0,751,1,0,0,1,133,0,775
70875,0,411,0,0,0,1,133,0,1499
70880,0,0,3,0,0,2,0,0,1536
70886,0,99,1,1,0,1,0,0,776
70887,0,0,1,1,0,1,133,0,778
70888,0,0,3,4,2,2,133,0,2094
70889,0,0,0,1,0,0,133,0,1130
70890,0,11,0,0,0,0,0,0,1131
70891,0,59,0,0,0,0,0,0,1133
70892,0,0,0,0,0,0,133,0,1528
70893,0,0,1,0,0,1,0,0,1188
70894,0,0,1,0,0,1,0,0,1189
70896,0,0,1,0,0,1,0,0,950
70898,0,55,0,0,0,0,0,0,1179
70899,0,0,1,0,0,1,0,0,1180
70900,0,0,1,1,0,1,133,0,1245
70901,0,0,1,1,0,1,133,0,1086
70902,0,74,0,0,0,0,0,0,1795
70903,0,74,0,0,0,0,0,0,1796
70904,0,74,0,0,0,0,0,0,1797
70906,0,0,1,0,0,0,0,0,7393
70910,0,0,1,0,0,1,0,0,1101
70911,0,51,1,4,0,1,0,0,1056
70912,0,0,1,1,0,1,133,0,1463
70913,0,74,0,0,0,0,0,0,1798
70914,0,0,1,0,0,1,133,0,1106
70915,0,0,1,1,0,1,133,0,1461
70916,0,11,0,0,0,0,0,0,1127
70918,0,0,1,0,0,1,0,0,900
70920,0,0,1,1,0,1,133,0,1058
70921,0,0,1,0,0,1,0,0,1059
70922,0,0,2,0,0,2,133,0,1464
70925,0,33,2,0,14,2,133,0,1777
70927,0,0,1,0,0,1,0,0,902
70928,0,0,0,1,0,0,0,0,1450
70929,0,0,0,1,0,0,0,0,1451
70930,0,0,0,1,0,0,0,0,1452
70931,0,0,0,1,0,0,0,0,1453
70932,0,21,1,1,0,1,0,0,2602
70933,0,0,1,0,0,1,0,0,2603
70936,0,0,1,0,0,1,133,0,2006
70937,0,0,0,0,0,0,133,0,1494
70940,0,59,0,0,0,0,0,0,1135
70941,0,65,2,1,0,2,0,0,1663
70942,0,65,2,1,0,2,0,0,1664
70943,0,65,0,1,0,0,0,0,1665
70944,0,0,1,0,0,1,0,0,1105
70946,0,0,2,0,0,2,0,0,1608
70947,0,0,1,0,0,1,0,0,999
70948,0,33,1,1,5,1,133,0,1513
70949,0,20,1,1,25,1,133,0,1022
70951,0,0,1,1,0,1,133,0,1038
70952,0,0,1,0,1,1,133,0,1098
70953,0,23,1,0,0,1,0,0,968
70955,0,54,1,1,0,1,0,0,994
70957,0,0,1,0,0,1,133,0,996
70958,0,0,1,0,0,1,0,0,997
70959,0,0,1,0,0,1,0,0,733
70960,0,0,1,0,0,1,0,0,734
70961,0,0,1,1,0,1,133,0,970
70963,0,11,0,0,0,0,0,0,1129
70967,0,0,2,0,0,2,133,0,1715
70968,0,0,0,0,0,1,133,0,1543
70969,0,0,1,0,0,1,133,0,1120
70970,0,0,1,0,0,1,133,0,1152
70971,0,0,1,0,0,1,133,0,2908
70972,0,0,1,0,0,1,133,0,2912
70974,0,0,1,0,0,1,0,0,3803
70975,0,0,0,0,0,0,133,0,2836
70976,0,82,1,1,0,1,133,0,9592
70977,0,0,0,0,0,0,133,0,2481
70980,0,0,3,0,0,2,0,0,3011
70982,0,0,1,0,0,1,0,0,3804
70983,0,0,1,0,0,1,0,0,4350
70984,0,23,0,0,0,0,0,0,3823
70986,0,0,1,0,0,1,133,0,2870
70987,0,0,1,1,0,1,133,0,2871
